City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
98,stawell,0,AU,1524325931,89,-37.06,142.77,50.17,3.71
99,pisco,0,PE,1524322800,73,-13.71,-76.2,71.6,5.82
100,doha,0,QA,1524322800,61,25.29,51.53,82.4,11.41
101,christchurch,0,NZ,1524324600,75,-43.53,172.64,46.4,5.82
102,castro,92,CL,1524325932,93,-42.48,-73.76,54.22,10.31
103,zaraza,0,VE,1524325932,52,9.35,-65.33,90.67,8.86
104,daru,0,SL,1524325932,67,7.99,-10.85,88.33,7.78
105,dikson,68,RU,1524325932,91,73.51,80.55,17.77,15.68
106,port alfred,36,ZA,1524325932,78,-33.59,26.89,74.29,10.92
107,vaini,32,IN,1524325932,41,15.34,74.49,83.74,4.09
108,kapaa,40,US,1524322800,83,22.08,-159.32,73.4,17.22
109,san patricio,20,PY,1524325933,63,-26.98,-56.83,87.07,3.87
110,lagoa,20,PT,1524324600,88,37.14,-8.45,62.6,9.17
111,hamilton,75,BM,1524322500,55,32.3,-64.78,66.2,12.75
112,tessaoua,24,NE,1524325933,21,13.76,7.99,100.57,7.4
113,arraial do cabo,40,BR,1524322800,61,-22.97,-42.02,80.6,11.41
114,tiksi,88,RU,1524325934,86,71.64,128.87,22.45,4.05
115,lorengau,68,PG,1524325934,99,-2.02,147.27,83.83,7.9
116,acari,0,BR,1524325934,48,-6.44,-36.64,89.14,10.09
117,nantucket,1,US,1524323700,45,41.28,-70.1,50.0,12.75
118,nokaneng,0,BW,1524325934,24,-19.66,22.19,91.21,4.72
119,avarua,24,CK,1524325934,100,-21.21,-159.78,78.88,15.35
120,paciran,48,ID,1524325934,98,-6.9,112.33,73.3,3.04
121,dano,0,BF,1524325934,46,11.14,-3.06,97.69,4.54
122,bhuj,0,IN,1524325935,24,23.25,69.67,87.61,10.8
123,megion,0,RU,1524322800,53,61.04,76.11,24.8,4.47
124,cape town,0,ZA,1524322800,52,-33.93,18.42,69.8,11.41
125,eregli,24,TR,1524325935,63,37.51,34.05,49.27,12.03
126,aklavik,40,CA,1524322800,76,68.22,-135.01,-11.21,1.81
127,yellowknife,40,CA,1524322800,66,62.45,-114.38,14.0,9.17
128,upernavik,48,GL,1524325935,100,72.79,-56.15,19.84,11.43
129,palmer,0,AU,1524322800,68,-34.85,139.16,64.4,4.7
130,albany,20,US,1524322440,34,42.65,-73.75,50.0,16.11
131,coos bay,90,US,1524323700,93,43.37,-124.22,48.2,6.93
132,osorno,75,CL,1524322800,93,-40.57,-73.14,57.2,4.7
133,san vicente,0,SV,1524322200,57,13.64,-88.78,89.6,9.17
134,key west,75,US,1524323700,81,47.93,-96.78,44.6,11.41
135,angoche,0,MZ,1524325937,100,-16.23,39.91,83.11,11.88
136,diplo,0,PK,1524325937,18,24.47,69.59,82.12,4.38
137,coihaique,40,CL,1524322800,54,-45.58,-72.07,57.2,6.93
138,cananeia,0,BR,1524325937,88,-25.01,-47.93,78.79,0.74
139,chuy,36,UY,1524325938,99,-33.69,-53.46,72.76,11.14
140,ketchikan,40,US,1524322560,93,55.34,-131.65,39.2,8.01
141,barra do garcas,88,BR,1524325938,62,-15.89,-52.26,85.0,8.34
142,guangyuan,76,CN,1524325938,90,32.43,105.86,61.87,1.19
143,paita,0,PE,1524322800,55,-5.09,-81.11,86.0,17.22
144,troina,40,IT,1524324000,64,37.79,14.6,77.0,8.05
145,cherskiy,0,RU,1524325801,56,68.75,161.3,9.58,2.26
146,touros,20,BR,1524325938,76,-5.2,-35.46,85.54,11.25
147,ola,20,RU,1524322800,92,59.58,151.3,24.8,1.97
148,severo-kurilsk,92,RU,1524325939,100,50.68,156.12,30.82,15.57
149,kigorobya,44,UG,1524325939,94,1.62,31.31,81.04,2.71
150,souillac,0,FR,1524324600,26,45.6,-0.6,82.4,6.93
151,matagami,68,NG,1524325939,85,9.67,8.4,79.33,4.32
152,la seyne-sur-mer,0,FR,1524324600,38,43.1,5.88,82.4,6.93
153,puerto escondido,5,MX,1524321660,62,15.86,-97.07,84.2,7.85
154,port-gentil,40,GA,1524322800,70,-0.72,8.78,87.8,11.41
155,kirakira,88,SB,1524325940,100,-10.46,161.92,79.06,12.44
156,macia,20,MZ,1524325940,68,-25.03,33.09,77.35,5.5
157,lar,0,IR,1524322800,25,27.66,54.32,86.0,9.17
158,meulaboh,48,ID,1524325940,100,4.14,96.13,79.87,2.59
159,dongying,100,CN,1524325941,78,37.43,118.67,66.91,10.36
160,umm lajj,0,SA,1524325941,53,25.02,37.27,86.62,3.83
161,atar,0,MR,1524322800,18,20.52,-13.05,89.6,8.05
162,theunissen,0,ZA,1524325941,37,-28.4,26.71,70.69,5.5
163,bredasdorp,0,ZA,1524322800,49,-34.53,20.04,71.6,16.11
164,katsuura,0,JP,1524325941,84,33.93,134.5,54.76,0.96
165,mar del plata,68,AR,1524325941,47,-46.43,-67.52,61.69,19.86
166,haapiti,56,PF,1524324600,74,-17.57,-149.87,78.8,5.82
167,maragogi,92,BR,1524325942,98,-9.01,-35.22,79.06,7.85
168,namibe,0,AO,1524325942,98,-15.19,12.15,80.32,9.57
169,iqaluit,20,CA,1524322800,67,63.75,-68.52,23.0,13.87
170,provideniya,0,RU,1524325942,100,64.42,-173.23,20.02,22.06
171,geraldton,5,CA,1524322800,26,49.72,-86.95,48.2,3.38
172,cidreira,88,BR,1524325943,92,-30.17,-50.22,73.21,5.77
173,solnechnyy,88,RU,1524325943,66,50.72,136.64,36.76,6.11
174,teguise,40,ES,1524324600,60,29.06,-13.56,69.8,20.8
175,erenhot,56,CN,1524325943,65,43.65,111.97,47.2,16.4
176,nyurba,76,RU,1524325943,54,63.29,118.35,34.78,8.12
177,willowmore,0,ZA,1524325943,27,-33.3,23.49,74.29,2.53
178,howard springs,0,AU,1524322800,74,-12.5,131.05,80.6,4.7
179,tevriz,92,RU,1524325944,89,57.51,72.4,30.73,6.33
180,ribeira grande,20,PT,1524324600,77,38.52,-28.7,68.0,6.93
181,port elizabeth,1,US,1524322560,34,39.31,-74.98,53.6,9.17
182,batagay,68,RU,1524325944,78,67.65,134.64,25.69,3.2
183,narsaq,75,GL,1524322200,56,60.91,-46.05,44.6,5.82
184,arman,20,RU,1524322800,92,59.7,150.17,24.8,1.48
185,kruisfontein,0,ZA,1524325944,65,-34.0,24.73,70.06,6.4
186,sao joao da barra,75,BR,1524322800,54,-21.64,-41.05,80.6,6.93
187,manokwari,68,ID,1524325945,100,-0.87,134.08,79.15,5.99
188,billings,20,US,1524322380,65,45.79,-108.5,46.4,14.99
189,port hardy,75,CA,1524324060,86,50.7,-127.42,41.0,8.05
190,ampanihy,24,MG,1524325945,87,-24.69,44.75,68.71,4.83
191,pakxe,24,LA,1524325945,89,15.12,105.78,78.07,2.59
192,kaeo,48,NZ,1524325945,97,-35.1,173.78,58.18,8.86
193,kazachinskoye,44,RU,1524325946,68,57.69,93.28,46.75,9.08
194,wanning,0,AT,1524324000,36,48.64,13.53,78.8,12.75
195,gizo,40,IL,1524324000,64,31.8,34.94,69.8,12.75
196,suruc,75,TR,1524324000,44,36.98,38.42,60.8,9.17
197,airai,12,TL,1524325946,88,-8.93,125.41,67.99,1.81
198,cururupu,36,BR,1524325946,75,-1.82,-44.87,86.98,8.3
199,tasiilaq,75,GL,1524322200,80,65.61,-37.64,33.8,3.36
200,auki,64,NG,1524325947,27,12.18,6.51,99.67,5.1
201,boguchany,88,RU,1524325947,52,58.38,97.46,46.93,8.79
202,kaitangata,48,NZ,1524325947,79,-46.28,169.85,45.04,18.59
203,thompson,40,CA,1524322800,49,55.74,-97.86,46.4,4.7
204,blagoyevo,68,RU,1524325947,52,63.37,47.92,29.47,4.99
205,santa barbara,90,US,1524324900,100,34.42,-119.7,57.2,5.55
206,buraydah,5,SA,1524322800,17,26.33,43.97,93.2,4.7
207,nikolskoye,90,RU,1524322800,80,59.7,30.79,41.0,20.13
208,taos,40,US,1524323700,59,36.41,-105.57,37.4,3.04
209,tuatapere,92,NZ,1524325948,100,-46.13,167.69,48.64,16.84
210,tubli,92,PH,1524325948,100,13.93,124.15,81.04,7.29
211,coxim,0,BR,1524325948,68,-18.5,-54.75,87.79,4.38
212,novopokrovka,0,RU,1524325948,52,45.85,134.51,40.9,4.61
213,port macquarie,92,AU,1524322800,87,-31.43,152.91,60.8,8.05
214,sirjan,0,IR,1524325949,23,29.44,55.67,64.75,8.08
215,cockburn town,88,TC,1524325949,96,21.46,-71.14,79.24,17.85
216,turka,0,UA,1524325949,55,49.16,23.03,65.38,8.63
217,new norfolk,76,AU,1524322800,93,-42.78,147.06,51.8,2.37
218,biak,12,ID,1524325949,100,-0.91,122.88,77.8,3.09
219,butaritari,88,KI,1524325949,100,3.07,172.79,83.11,13.33
220,saskylakh,0,RU,1524325950,70,71.97,114.09,9.13,10.25
221,mawlaik,0,MM,1524325950,73,23.63,94.42,76.27,1.97
222,flinders,90,AU,1524322800,100,-34.58,150.85,57.2,3.36
223,saint-louis,0,CH,1524324600,23,47.59,7.56,84.2,2.24
224,lavrentiya,0,RU,1524325950,97,65.58,-170.99,18.94,21.39
225,san matias,75,HN,1524326400,57,13.97,-86.63,75.2,9.17
226,santa maria,90,BR,1524322800,100,-29.69,-53.81,68.0,3.36
227,torbay,75,CA,1524322800,69,47.66,-52.73,39.2,24.16
228,itarema,64,BR,1524325952,98,-2.92,-39.92,81.22,9.24
229,tymovskoye,8,RU,1524325875,83,50.85,142.66,23.98,4.21
230,hofn,92,IS,1524325952,100,64.25,-15.21,39.19,14.94
231,macenta,36,GN,1524325952,57,8.55,-9.47,87.34,3.38
232,marsh harbour,12,BS,1524325672,97,26.54,-77.06,77.08,12.93
233,san joaquin,12,PH,1524325952,83,10.59,122.14,79.87,9.75
234,andreapol,88,RU,1524325952,60,56.65,32.27,52.33,33.4
235,san quintin,20,PH,1524322800,83,17.54,120.52,82.4,2.24
236,takoradi,0,GH,1524325953,89,4.89,-1.75,82.21,9.91
237,romny,0,UA,1524325953,60,50.74,33.49,64.75,20.87
238,esmeraldas,40,BR,1524322800,60,-19.76,-44.31,75.2,9.17
239,okhotsk,56,RU,1524325953,97,59.36,143.24,22.09,2.71
240,ilulissat,90,GL,1524322200,85,69.22,-51.1,24.8,2.24
241,mareeba,0,AU,1524322800,73,-16.99,145.42,75.2,8.05
242,baie-comeau,1,CA,1524322800,32,49.22,-68.15,39.2,6.93
243,ossora,92,RU,1524325954,98,59.24,163.07,27.76,3.6
244,ebeltoft,0,DK,1524324000,51,56.2,10.68,59.0,19.46
245,axim,8,GH,1524325954,100,4.87,-2.24,81.13,12.66
246,sabha,0,LY,1524325954,15,27.03,14.43,92.83,12.26
247,elbrus,88,RU,1524325954,91,43.26,42.65,26.14,1.07
248,santa isabel do rio negro,48,BR,1524325955,90,-0.41,-65.02,80.68,2.48
249,borgarnes,75,IS,1524322800,53,64.54,-21.92,50.0,10.29
250,grindavik,75,IS,1524322800,75,63.84,-22.43,50.0,11.41
251,kosum phisai,8,TH,1524322800,79,16.25,103.07,84.2,3.36
252,bambous virieux,40,MU,1524322800,74,-20.34,57.76,80.6,8.05
253,talcahuano,40,CL,1524322800,77,-36.72,-73.12,62.6,3.36
254,goundam,0,ML,1524325955,17,16.42,-3.66,102.64,6.22
255,poum,8,MK,1524325956,49,41.28,20.71,62.59,0.81
256,inuvik,75,CA,1524322800,76,68.36,-133.71,-9.41,2.53
257,codrington,92,AU,1524325956,100,-28.95,153.24,62.23,5.06
258,pangody,68,RU,1524325956,84,65.85,74.49,12.55,15.79
259,tabasco,5,MX,1524322440,28,21.87,-102.91,68.0,3.36
260,cheremukhovo,92,RU,1524325956,95,56.23,46.23,41.71,17.13
261,kodiak,90,US,1524322380,50,39.95,-94.76,51.8,5.82
262,namatanai,88,PG,1524325957,100,-3.66,152.44,82.84,7.63
263,pangnirtung,5,CA,1524322800,85,66.15,-65.72,10.4,3.36
264,moose factory,40,CA,1524323400,100,51.26,-80.61,21.2,4.7
265,kourou,90,GF,1524324600,100,5.16,-52.64,77.0,2.24
266,moirang,68,IN,1524325957,91,24.5,93.78,68.17,1.19
267,saint-felix-de-valois,0,CA,1524325957,82,46.17,-73.43,41.71,4.38
268,glenwood springs,90,US,1524325260,86,39.55,-107.33,39.2,2.98
269,mathbaria,0,BD,1524325958,80,22.29,89.96,83.11,7.29
270,chaohu,40,CN,1524322800,94,31.63,117.88,69.8,11.18
271,khudumelapye,0,BW,1524325958,40,-23.91,24.95,80.68,3.49
272,lugovoy,8,RU,1524325958,68,59.72,65.88,20.83,3.31
273,menongue,0,AO,1524325958,33,-14.66,17.68,81.31,5.39
274,kavieng,80,PG,1524325959,100,-2.57,150.8,83.29,7.78
275,media luna,20,BO,1524322800,49,-21.67,-64.63,73.4,5.82
276,yarada,12,IN,1524325959,97,17.65,83.27,86.08,15.28
277,thornhill,20,GB,1524324000,55,55.24,-3.77,66.2,3.36
278,virginia beach,75,US,1524323700,57,36.85,-75.98,57.2,6.93
279,formosa,20,AR,1524322800,59,-26.19,-58.17,89.6,9.17
280,vao,36,EE,1524325960,59,59.1,26.19,50.71,15.95
281,kununurra,0,AU,1524322800,73,-15.77,128.74,77.0,2.24
282,adre,0,TD,1524325960,10,13.47,22.2,100.39,4.38
283,ahuimanu,20,US,1524322620,78,21.44,-157.84,73.4,8.05
284,kerema,80,PG,1524325960,100,-7.96,145.78,72.85,2.48
285,orlik,0,RU,1524325960,73,52.51,99.83,13.99,1.86
286,lannion,0,FR,1524324600,53,48.73,-3.46,80.6,2.24
287,tevaitoa,88,PF,1524325961,100,-16.78,-151.5,79.78,6.4
288,atocha,24,EC,1524325961,68,-1.22,-78.6,54.85,2.86
289,fort nelson,90,CA,1524322800,55,58.81,-122.69,35.6,8.05
290,port hedland,0,AU,1524324600,88,-20.31,118.58,78.8,6.93
291,ahipara,92,NZ,1524325961,100,-35.17,173.16,62.41,13.15
292,thap than,8,TH,1524325961,56,15.46,99.89,83.11,6.06
293,klaksvik,92,FO,1524324000,93,62.23,-6.59,44.6,10.29
294,chapais,1,CA,1524322800,50,49.78,-74.86,33.8,9.17
295,placido de castro,92,BR,1524325962,96,-10.34,-67.19,75.73,2.71
296,sorland,92,NO,1524325962,99,67.67,12.69,42.07,2.75
297,singaparna,88,ID,1524325962,97,-7.35,108.11,68.62,1.97
298,pevek,36,RU,1524325962,65,69.7,170.27,15.34,5.32
299,saint-pierre,0,FR,1524324600,36,48.95,4.24,80.6,3.36
300,mayumba,12,GA,1524325963,88,-3.44,10.65,84.28,7.9
301,polewali,64,ID,1524325963,97,-4.03,119.8,75.19,0.69
302,kathu,0,ZA,1524325963,27,-27.7,23.05,80.77,6.22
303,konstantinovka,0,MD,1524325963,29,47.99,28.86,72.49,13.78
304,gat,0,SN,1524322800,26,14.69,-16.54,95.0,4.7
305,kamloops,20,CA,1524322800,43,50.68,-120.34,51.8,9.17
306,coquimbo,90,CL,1524322800,93,-29.95,-71.34,55.4,4.7
307,lake charles,90,US,1524324900,64,30.23,-93.22,69.8,8.05
308,turbat,0,PK,1524325964,17,26.0,63.05,85.54,9.57
309,saint-augustin,0,FR,1524324600,36,44.83,-0.61,80.6,8.05
310,constitucion,75,MX,1524322140,24,23.99,-104.67,68.0,13.87
311,buin,0,CL,1524322800,40,-33.73,-70.74,68.0,3.04
312,avera,1,US,1524324900,39,33.19,-82.53,68.0,16.11
313,lebu,75,ET,1524322800,82,8.96,38.73,60.8,4.7
314,los llanos de aridane,40,ES,1524324600,49,28.66,-17.92,71.6,5.82
315,tecpan,20,GT,1524326400,56,14.76,-90.99,73.4,16.11
316,shelui,12,TZ,1524325965,87,-4.36,34.2,76.0,3.04
317,lima duarte,75,BR,1524322800,77,-21.84,-43.79,66.2,6.93
318,coahuayana,0,MX,1524325966,43,18.62,-100.35,78.79,2.82
319,alta floresta,40,BR,1524322800,62,-9.87,-56.08,89.6,6.93
320,cortez,90,US,1524322380,61,37.35,-108.58,48.2,12.75
321,nouadhibou,20,MR,1524322800,49,20.93,-17.03,71.6,20.8
322,mukhen,8,RU,1524325966,86,48.19,136.14,39.73,4.99
323,qaqortoq,75,GL,1524322200,56,60.72,-46.03,44.6,5.82
324,luderitz,0,NA,1524325967,86,-26.65,15.16,64.93,8.79
325,payo,56,ID,1524325967,96,-3.75,103.64,73.84,4.54
326,port blair,0,IN,1524325967,100,11.67,92.75,85.63,4.21
327,suffolk,40,US,1524323700,50,36.73,-76.58,57.2,4.76
328,sai buri,0,TH,1524325967,80,6.7,101.62,79.69,4.72
329,yaya,88,RU,1524325967,74,56.2,86.45,49.99,14.67
330,bathsheba,75,BB,1524322800,74,13.22,-59.52,82.4,23.04
331,ukiah,1,US,1524322560,81,39.15,-123.21,48.2,2.26
332,vila velha,40,BR,1524322800,70,-3.71,-38.6,86.0,16.11
333,talnakh,64,RU,1524325968,85,69.49,88.39,14.89,8.75
334,clyde river,1,CA,1524325140,78,70.47,-68.59,14.0,3.36
335,sao filipe,0,CV,1524325968,94,14.9,-24.5,71.32,13.78
336,hovd,75,NO,1524324000,81,63.83,10.7,42.8,29.97
337,conakry,20,GN,1524322800,62,9.52,-13.7,86.0,13.87
338,la ronge,75,CA,1524322800,75,55.1,-105.3,41.0,5.82
339,neryungri,36,RU,1524325968,76,56.66,124.71,14.26,2.86
340,yar-sale,80,RU,1524325969,88,66.83,70.83,16.15,12.37
341,mahon,20,IE,1524322800,54,51.89,-8.4,59.0,11.41
342,vavozh,56,RU,1524325969,48,56.77,51.93,37.48,8.08
343,gusev,0,RU,1524325969,57,54.59,22.2,56.47,19.08
344,demba,36,CD,1524325969,74,-5.47,22.27,82.84,3.04
345,oeiras,20,BR,1524325969,67,-7.01,-42.13,88.06,9.75
346,dunedin,8,NZ,1524325970,75,-45.87,170.5,43.51,17.69
347,pochutla,20,MX,1524321960,97,15.74,-96.47,87.8,2.08
348,hambantota,20,LK,1524325970,100,6.12,81.12,81.04,2.3
349,guapiles,0,CR,1524322800,50,10.22,-83.79,80.6,16.11
350,vila franca do campo,75,PT,1524324600,77,37.72,-25.43,62.6,14.99
351,bonthe,0,SL,1524325970,55,7.53,-12.5,90.31,7.56
352,wagar,0,US,1524325970,51,31.44,-87.99,69.43,5.61
353,northam,20,GB,1524324000,68,51.04,-4.21,68.0,11.41
354,makakilo city,1,US,1524322620,93,21.35,-158.09,73.4,9.64
355,peniche,75,PT,1524324600,77,39.36,-9.38,68.0,11.41
356,banjar,64,ID,1524325971,100,-7.37,108.54,72.58,2.26
357,karpathos,0,GR,1524324000,55,35.51,27.21,66.2,25.28
358,tabas,92,IR,1524325971,12,33.6,56.92,78.79,9.53
359,creel,0,MX,1524325972,19,27.75,-107.63,58.36,3.27
360,tarakan,8,ID,1524325972,97,3.3,117.63,82.39,4.99
361,saint-joseph,0,FR,1524324600,43,43.56,6.97,82.4,4.7
362,hasaki,0,JP,1524322800,93,35.73,140.83,55.4,4.7
363,srednekolymsk,12,RU,1524325972,90,67.46,153.71,15.79,2.75
364,mwinilunga,0,ZM,1524325972,40,-11.73,24.43,78.79,3.53
365,ozinki,0,RU,1524325972,69,51.2,49.73,46.39,3.09
366,kasli,32,RU,1524325973,70,55.89,60.75,31.72,2.86
367,dandong,80,CN,1524325973,93,40.12,124.37,48.37,2.37
368,belaya kholunitsa,92,RU,1524325741,54,58.84,50.85,32.17,9.24
369,usinsk,0,RU,1524325973,80,66.0,57.56,12.01,2.59
370,dudinka,48,RU,1524325874,87,69.41,86.18,13.27,6.33
371,taoudenni,0,ML,1524325973,12,22.68,-3.98,101.47,8.57
372,pontes e lacerda,0,BR,1524325973,88,-15.23,-59.33,85.36,4.5
373,namtsy,0,RU,1524325973,72,62.72,129.66,19.48,3.09
374,alyangula,0,AU,1524325974,99,-13.85,136.42,83.38,10.58
375,rincon,75,US,1524325320,53,32.3,-81.24,71.6,16.11
376,saint-leu,90,RE,1524324600,78,-21.15,55.28,78.8,5.82
377,ponta delgada,75,PT,1524324600,77,37.73,-25.67,62.6,14.99
378,turukhansk,0,RU,1524325974,68,65.8,87.96,7.33,2.98
379,nemuro,0,JP,1524325974,75,43.32,145.57,44.77,16.46
380,veinticinco de mayo,20,AR,1524325975,66,-27.38,-54.75,85.54,6.33
381,kailua,20,US,1524322620,78,21.39,-157.74,73.4,8.05
382,burnley,20,GB,1524324000,56,53.79,-2.24,69.8,10.29
383,leningradskiy,56,RU,1524325975,87,69.38,178.42,12.37,13.89
384,high level,90,CA,1524322800,56,58.52,-117.13,41.0,3.36
